GEN, BEST_TIME, BEST_SCORE
1182, 189, 29
1183, 189, 29
1184, 189, 29
1185, 189, 29
1186, 189, 29
1187, 189, 29
1188, 189, 29
1189, 189, 29
1190, 189, 29
1191, 189, 29
1192, 189, 29
1193, 189, 29
1194, 189, 29
1195, 189, 29
1196, 189, 29
1197, 189, 29
1198, 189, 29
1199, 189, 29
1200, 189, 29
1201, 189, 29
1202, 189, 29
1203, 189, 29
1204, 189, 29
1205, 189, 29
1206, 189, 29
1207, 189, 29
1208, 189, 29
1209, 189, 29
1210, 189, 29
1211, 189, 29
1212, 189, 29
1213, 189, 29
1214, 189, 29
1215, 189, 29
1216, 189, 29
1217, 189, 29
1218, 189, 29
1219, 189, 29
1220, 189, 29
1221, 189, 29
1222, 189, 29
1223, 189, 29
1224, 189, 29
1225, 189, 29
1226, 189, 29
1227, 189, 29
1228, 189, 29
1229, 189, 29
1230, 189, 29
1231, 189, 29
1232, 189, 29
1233, 189, 29
1234, 189, 29
1235, 189, 29
1236, 189, 29
1237, 189, 29
1238, 189, 29
1239, 189, 29
1240, 189, 29
1241, 189, 29
1242, 189, 29
1243, 189, 29
1244, 189, 29
1245, 189, 29
1246, 189, 29
1247, 189, 29
1248, 189, 29
1249, 189, 29
1250, 189, 29
1251, 189, 29
1252, 189, 29
1253, 189, 29
1254, 189, 29
1255, 189, 29
1256, 189, 29
1257, 189, 29
1258, 189, 29
1259, 189, 29
1260, 189, 29
1261, 189, 29
1262, 189, 29
1263, 189, 29
1264, 189, 29
1265, 189, 29
1266, 189, 29
1267, 189, 29
1268, 189, 29
1269, 189, 29
1270, 189, 29
1271, 189, 29
1272, 189, 29
1273, 189, 29
1274, 189, 29
1275, 189, 29
1276, 189, 29
1277, 189, 29
1278, 189, 29
1279, 189, 29
1280, 189, 29
1281, 189, 29
1282, 189, 29
1283, 189, 29
1284, 189, 29
1285, 189, 29
1286, 189, 29
1287, 189, 29
1288, 189, 29
1289, 189, 29
1290, 189, 29
1291, 189, 29
1292, 189, 29
1293, 189, 29
1294, 189, 29
1295, 189, 29
1296, 189, 29
1297, 189, 29
1298, 189, 29
1299, 189, 29
1300, 189, 29
1301, 189, 29
1302, 189, 29
1303, 189, 29
1304, 189, 29
1305, 189, 29
1306, 189, 29
1307, 189, 29
1308, 189, 29
1309, 189, 29
1310, 189, 29
1311, 189, 29
1312, 189, 29
1313, 189, 29
1314, 189, 29
1315, 189, 29
1316, 189, 29
1317, 189, 29
1318, 189, 29
1319, 189, 29
1320, 189, 29
1321, 189, 29
1322, 189, 29
1323, 189, 29
1324, 189, 29
1325, 189, 29
1326, 189, 29
1327, 189, 29
1328, 189, 29
1329, 189, 29
1330, 189, 29
1331, 189, 29
1332, 189, 29
1333, 189, 29
1334, 189, 29
1335, 189, 29
1336, 189, 29
1337, 189, 29
1338, 189, 29
1339, 189, 29
1340, 189, 29
1341, 189, 29
1342, 189, 29
1343, 189, 29
1344, 189, 29
1345, 189, 29
1346, 189, 29
1347, 189, 29
1348, 189, 29
1349, 189, 29
1350, 189, 29
1351, 189, 29
1352, 189, 29
1353, 189, 29
1354, 189, 29
1355, 189, 29
1356, 189, 29
1357, 189, 29
1358, 189, 29
1359, 189, 29
1360, 189, 29
1361, 189, 29
1362, 189, 29
1363, 189, 29
1364, 189, 29
1365, 189, 29
1366, 189, 29
1367, 189, 29
1368, 189, 29
1369, 189, 29
1370, 189, 29
1371, 189, 29
1372, 189, 29
1373, 189, 29
1374, 189, 29
1375, 189, 29
1376, 189, 29
1377, 189, 29
1378, 189, 29
1379, 189, 29
1380, 189, 29
1381, 189, 29
1382, 189, 29
1383, 189, 29
1384, 189, 29
1385, 189, 29
1386, 189, 29
1387, 189, 29
1388, 189, 29
1389, 189, 29
1390, 189, 29
1391, 189, 29
1392, 189, 29
1393, 189, 29
1394, 189, 29
1395, 189, 29
1396, 189, 29
1397, 189, 29
1398, 189, 29
1399, 189, 29
1400, 189, 29
1401, 189, 29
1402, 189, 29
1403, 189, 29
1404, 189, 29
1405, 189, 29
1406, 189, 29
1407, 189, 29
1408, 189, 29
1409, 189, 29
1410, 189, 29
1411, 189, 29
1412, 189, 29
1413, 189, 29
1414, 189, 29
1415, 189, 29
1416, 189, 29
1417, 189, 29
1418, 189, 29
1419, 189, 29
1420, 189, 29
1421, 189, 29
1422, 189, 29
1423, 189, 29
1424, 189, 29
1425, 189, 29
1426, 189, 29
1427, 189, 29
1428, 189, 29
1429, 189, 29
1430, 189, 29
1431, 189, 29
1432, 189, 29
1433, 189, 29
1434, 189, 29
1435, 189, 29
1436, 189, 29
1437, 189, 29
1438, 189, 29
1439, 189, 29
1440, 189, 29
1441, 189, 29
1442, 189, 29
1443, 189, 29
1444, 189, 29
1445, 189, 29
1446, 189, 29
1447, 189, 29
1448, 189, 29
1449, 189, 29
1450, 189, 29
1451, 189, 29
1452, 189, 29
1453, 189, 29
1454, 189, 29
1455, 189, 29
1456, 189, 29
1457, 189, 29
1458, 189, 29
1459, 189, 29
1460, 189, 29
1461, 189, 29
1462, 189, 29
1463, 189, 29
1464, 189, 29
1465, 189, 29
1466, 189, 29
1467, 189, 29
1468, 189, 29
1469, 189, 29
1470, 189, 29
1471, 189, 29
1472, 189, 29
1473, 189, 29
1474, 189, 29
1475, 189, 29
1476, 189, 29
1477, 189, 29
1478, 189, 29
1479, 189, 29
1480, 189, 29
1481, 189, 29
1482, 189, 29
1483, 189, 29
1484, 189, 29
1485, 189, 29
1486, 189, 29
1487, 189, 29
1488, 189, 29
1489, 189, 29
1490, 189, 29
1491, 189, 29
1492, 189, 29
1493, 189, 29
1494, 189, 29
1495, 189, 29
1496, 189, 29
1497, 189, 29
1498, 189, 29
1499, 189, 29
1500, 189, 29
1501, 189, 29
1502, 189, 29
1503, 189, 29
1504, 189, 29
1505, 189, 29
1506, 189, 29
1507, 189, 29
1508, 189, 29
1509, 189, 29
1510, 189, 29
1511, 189, 29
1512, 189, 29
1513, 189, 29
1514, 189, 29
1515, 189, 29
1516, 189, 29
1517, 189, 29
1518, 189, 29
1519, 189, 29
1520, 189, 29
1521, 189, 29
1522, 189, 29
1523, 189, 29
1524, 189, 29
1525, 189, 29
1526, 189, 29
1527, 189, 29
1528, 189, 29
1529, 189, 29
1530, 189, 29
1531, 189, 29
1532, 189, 29
1533, 189, 29
1534, 189, 29
1535, 189, 29
1536, 189, 29
1537, 189, 29
1538, 189, 29
1539, 189, 29
1540, 189, 29
1541, 189, 29
1542, 189, 29
1543, 189, 29
1544, 189, 29
1545, 189, 29
1546, 189, 29
1547, 189, 29
1548, 189, 29
1549, 189, 29
1550, 189, 29
1551, 189, 29
1552, 189, 29
1553, 189, 29
1554, 189, 29
1555, 189, 29
1556, 189, 29
1557, 189, 29
1558, 189, 29
1559, 189, 29
1560, 189, 29
1561, 189, 29
1562, 189, 29
1563, 189, 29
1564, 189, 29
1565, 189, 29
1566, 189, 29
1567, 189, 29
1568, 189, 29
1569, 189, 29
1570, 189, 29
1571, 189, 29
1572, 189, 29
1573, 189, 29
1574, 189, 29
1575, 189, 29
1576, 189, 29
1577, 189, 29
1578, 189, 29
1579, 189, 29
1580, 189, 29
1581, 189, 29
1582, 189, 29
1583, 189, 29
1584, 189, 29
1585, 189, 29
1586, 189, 29
1587, 189, 29
1588, 189, 29
1589, 189, 29
